,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Rikitea,56,PF,2018-03-18,100,-23.12,-134.97,80.0,14.32
1,Tadine,36,NC,2018-03-18,100,-21.55,167.88,77.12,11.07
2,Bredasdorp,88,ZA,2018-03-18,88,-34.53,20.04,62.6,4.7
3,Punta Arenas,75,CL,2018-03-18,65,-53.16,-70.91,44.6,26.4
4,Ekuvukeni,24,ZA,2018-03-18,91,-28.47,30.16,53.18,2.68
5,Lebu,75,ET,2018-03-18,77,8.96,38.73,59.0,6.93
6,Dikson,48,RU,2018-03-18,100,73.51,80.55,-5.96,34.78
7,Ola,68,RU,2018-03-18,49,59.58,151.3,1.4,13.42
8,Praia da Vitoria,68,PT,2018-03-18,98,38.73,-27.07,62.27,13.53
9,Tessalit,20,ML,2018-03-18,20,20.2,1.01,67.31,9.17
10,Norman Wells,90,CA,2018-03-18,92,65.28,-126.83,14.0,5.82
11,Octeville,90,FR,2018-03-18,80,49.63,-1.64,35.6,14.99
12,Broome,75,GB,2018-03-18,59,52.47,1.45,33.8,18.34
13,Kapaa,90,US,2018-03-18,100,22.08,-159.32,73.4,5.82
14,Cape Town,20,ZA,2018-03-18,88,-33.93,18.42,66.2,14.99
15,Camacha,40,PT,2018-03-18,77,33.08,-16.33,64.4,10.29
16,Chingirlau,92,KZ,2018-03-18,93,51.09,54.08,17.36,18.45
17,Askino,68,RU,2018-03-18,82,56.09,56.58,7.28,16.22
18,Luau,20,CD,2018-03-18,96,-10.7,22.23,67.76,2.13
19,Port Alfred,0,ZA,2018-03-18,86,-33.59,26.89,70.91,10.18
20,Vaini,8,IN,2018-03-18,91,15.34,74.49,66.59,2.13
21,Nenagh,75,IE,2018-03-18,80,52.86,-8.2,33.8,13.87
22,Batemans Bay,0,AU,2018-03-18,99,-35.71,150.18,61.46,2.13
23,Busselton,0,AU,2018-03-18,100,-33.64,115.35,60.74,13.2
24,Albany,20,US,2018-03-18,30,42.65,-73.75,30.2,13.87
25,Kamenka,0,RU,2018-03-18,65,53.19,44.05,-4.25,6.38
26,Tasiilaq,92,GL,2018-03-18,80,65.61,-37.64,33.8,27.51
27,Saint George,20,GR,2018-03-18,44,39.45,22.34,59.0,11.41
28,Lubango,92,AO,2018-03-18,98,-14.92,13.49,65.51,1.57
29,Dingle,44,PH,2018-03-18,94,11.0,122.67,75.5,9.95
30,Lagoa,0,PT,2018-03-18,76,37.14,-8.45,53.6,10.29
31,Dekar,56,BW,2018-03-18,65,-21.53,21.93,72.62,3.58
32,Mahebourg,40,MU,2018-03-18,88,-20.41,57.7,80.6,14.99
33,Kasulu,24,TZ,2018-03-18,91,-4.57,30.11,63.44,2.57
34,Caravelas,0,BR,2018-03-18,100,-17.73,-39.27,82.34,12.86
35,Pervomayskoye,0,RU,2018-03-18,80,57.07,86.23,12.41,7.38
36,Castro,92,CL,2018-03-18,92,-42.48,-73.76,54.44,6.38
37,Ankang,92,CN,2018-03-18,100,32.73,108.99,41.84,2.01
38,Ushuaia,75,AR,2018-03-18,86,-54.81,-68.31,41.0,18.34
39,Thompson,20,CA,2018-03-18,30,55.74,-97.86,14.0,4.7
40,Severomuysk,0,RU,2018-03-18,38,56.17,113.57,-15.05,1.79
41,Deputatskiy,0,RU,2018-03-18,77,69.3,139.9,-38.9,2.8
42,Mataura,100,NZ,2018-03-18,64,-46.19,168.86,66.05,17.0
43,Ambilobe,92,MG,2018-03-18,99,-13.19,49.05,72.98,5.14
44,Naranjal,20,PY,2018-03-18,52,-25.97,-55.19,93.2,4.7
45,Mount Gambier,92,AU,2018-03-18,82,-37.83,140.78,62.99,10.63
46,Jamestown,0,AU,2018-03-18,82,-33.21,138.6,44.09,4.14
47,Hobart,40,AU,2018-03-18,52,-42.88,147.33,66.2,28.86
48,Butaritari,20,KI,2018-03-18,100,3.07,172.79,81.08,7.61
49,Labuhan,68,ID,2018-03-18,96,-2.54,115.51,72.8,2.24
50,Saint-Philippe,1,CA,2018-03-18,29,45.36,-73.48,21.2,6.93
51,Fortuna,20,ES,2018-03-18,47,38.18,-1.13,55.4,16.11
52,Bontang,56,ID,2018-03-18,100,0.12,117.47,80.09,1.9
53,Nanakuli,90,US,2018-03-18,100,21.39,-158.15,80.6,5.82
54,Hermanus,80,ZA,2018-03-18,93,-34.42,19.24,59.57,1.34
55,Bambous Virieux,40,MU,2018-03-18,88,-20.34,57.76,80.6,14.99
56,Amberley,12,NZ,2018-03-18,68,-43.15,172.73,64.4,9.17
57,Presidencia Roque Saenz Pena,44,AR,2018-03-18,98,-26.79,-60.44,81.62,9.73
58,Antofagasta,20,CL,2018-03-18,64,-23.65,-70.4,68.0,12.75
59,Axim,8,GH,2018-03-18,100,4.87,-2.24,82.07,11.07
60,Sur,0,OM,2018-03-18,95,22.57,59.53,74.33,6.38
61,Torbay,90,CA,2018-03-18,94,47.66,-52.73,32.0,27.51
62,Nago,40,IT,2018-03-18,65,45.88,10.89,46.4,13.87
63,Igrim,48,RU,2018-03-18,70,63.19,64.42,1.43,5.14
64,Haines Junction,0,CA,2018-03-18,88,60.75,-137.51,28.16,2.68
65,Hofn,8,IS,2018-03-18,89,64.25,-15.21,40.22,11.07
66,Yellowknife,20,CA,2018-03-18,67,62.45,-114.38,19.4,13.87
67,Buffalo,20,US,2018-03-18,59,42.89,-78.88,46.4,16.11
68,New Norfolk,40,AU,2018-03-18,52,-42.78,147.06,66.2,28.86
69,Vila Velha,20,BR,2018-03-18,74,-3.71,-38.6,84.2,10.29
70,Ahipara,36,NZ,2018-03-18,88,-35.17,173.16,69.38,12.86
71,Mehamn,75,NO,2018-03-18,79,71.03,27.85,28.4,10.29
72,Atasu,20,KZ,2018-03-18,77,48.68,71.64,25.19,7.05
73,Santiago,0,CL,2018-03-18,31,-33.44,-70.65,75.2,10.29
74,Zadar,75,HR,2018-03-18,70,44.12,15.24,48.2,11.41
75,Khasan,0,RU,2018-03-18,77,42.43,130.64,31.4,12.97
76,Mar del Plata,68,AR,2018-03-18,41,-46.43,-67.52,67.22,29.75
77,Fort Nelson,75,CA,2018-03-18,51,58.81,-122.69,37.4,4.7
78,Hilo,90,US,2018-03-18,83,19.71,-155.08,75.2,5.82
79,Nikolskoye,20,RU,2018-03-18,80,59.7,30.79,30.2,11.18
80,Kenai,75,US,2018-03-18,93,60.55,-151.26,39.2,8.05
81,Saskylakh,8,RU,2018-03-18,41,71.97,114.09,-26.75,15.66
82,Tuktoyaktuk,90,CA,2018-03-18,76,69.44,-133.03,-9.41,6.93
83,Upernavik,32,GL,2018-03-18,93,72.79,-56.15,5.39,20.24
84,Ginda,8,IN,2018-03-18,56,30.69,78.49,43.19,3.02
85,Houston,1,US,2018-03-18,54,29.76,-95.37,86.0,5.82
86,Jiwani,0,PK,2018-03-18,91,25.05,61.74,71.45,9.62
87,Fez,75,MA,2018-03-18,93,34.03,-5.02,55.4,10.29
88,Barrow,92,AR,2018-03-18,100,-38.31,-60.23,56.96,16.11
89,Skibbereen,75,IE,2018-03-18,100,51.55,-9.27,32.0,17.22
90,Ilulissat,0,GL,2018-03-18,51,69.22,-51.1,39.2,16.11
91,Victoria,75,BN,2018-03-18,100,5.28,115.24,78.8,5.7
92,Kendari,20,ID,2018-03-18,94,-3.99,122.52,70.91,2.35
93,Kaeo,92,NZ,2018-03-18,92,-35.1,173.78,67.58,13.2
94,Vila Franca do Campo,75,PT,2018-03-18,100,37.72,-25.43,60.8,10.29
95,Lososina,80,RU,2018-03-18,97,49.0,140.31,20.51,31.76
96,Margate,40,AU,2018-03-18,52,-43.03,147.26,66.2,28.86
97,Sechura,32,PE,2018-03-18,66,-5.56,-80.82,78.29,11.74
98,Georgetown,20,GY,2018-03-18,51,6.8,-58.16,84.2,6.93
99,Bluff,24,AU,2018-03-18,90,-23.58,149.07,72.44,3.02
100,Vao,0,EE,2018-03-18,86,59.1,26.19,26.72,13.42
101,Bethel,90,US,2018-03-18,100,60.79,-161.76,28.4,8.05
102,Atuona,56,PF,2018-03-18,98,-9.8,-139.03,82.34,19.24
103,Ketchikan,90,US,2018-03-18,75,55.34,-131.65,46.4,11.41
104,Bilma,0,NE,2018-03-18,20,18.69,12.92,67.04,3.91
105,Fairbanks,90,US,2018-03-18,85,64.84,-147.72,28.4,4.36
106,Qaanaaq,0,GL,2018-03-18,98,77.48,-69.36,-17.12,7.05
107,Ancud,80,CL,2018-03-18,85,-41.87,-73.83,56.51,6.93
108,Altamira,40,BR,2018-03-18,66,-3.2,-52.21,89.6,5.82
109,Marienburg,0,DE,2018-03-18,39,52.12,9.98,30.2,17.22
110,Tuatapere,76,NZ,2018-03-18,84,-46.13,167.69,64.34,19.46
111,Ribas do Rio Pardo,32,BR,2018-03-18,58,-20.45,-53.76,87.92,3.69
112,Kaitangata,20,NZ,2018-03-18,70,-46.28,169.85,64.61,11.41
113,Isangel,68,VU,2018-03-18,100,-19.55,169.27,80.36,10.18
